HotSchedules,HotSchedules,/store/apps/developer?id=HotSchedules,PRODUCTIVITY,False,299.0,8600,3.22228693962097
"BringGo Brazil","EnGIS Technologies, Inc.","/store/apps/developer?id=EnGIS+Technologies,+Inc.",TRANSPORTATION,False,99.0,4362,2.45712971687317
"Europe GPS Navigation TomTom","TomTom International BV",/store/apps/dev?id=9210967624282537513,TRAVEL_AND_LOCAL,False,6472.0,3773,3.3071825504303
Cleverbot,"Icogno Ltd",/store/apps/developer?id=Icogno+Ltd,ENTERTAINMENT,False,99.0,3551,3.37183094024658
"City Shop - Craigslist App","YYH Creative",/store/apps/developer?id=YYH+Creative,PRODUCTIVITY,False,99.0,2938,2.49455404281616
iDisplay,"SHAPE GmbH",/store/apps/developer?id=SHAPE+GmbH,COMMUNICATION,False,476.0,2832,2.73516941070557
"PlayTo Universal",Dayglows,/store/apps/developer?id=Dayglows,ENTERTAINMENT,False,499.0,2628,3.4022068977356
"LockBot Pro","JackDoIt Inc",/store/apps/developer?id=JackDoIt+Inc,ENTERTAINMENT,False,349.0,2213,3.2645308971405
"樂客導航王N5 Pro","勤崴國際 KingwayTek",/store/apps/developer?id=%E5%8B%A4%E5%B4%B4%E5%9C%8B%E9%9A%9B+KingwayTek,TRAVEL_AND_LOCAL,False,2499.0,2105,3.19809985160828
"Call Recorder PRO","ERA Ltda",/store/apps/developer?id=ERA+Ltda,TOOLS,False,158.0,2078,3.16506266593933
"導航PAPAGO! Taiwan by GOLiFE","GOYOURLIFE INC.",/store/apps/developer?id=GOYOURLIFE+INC.,TRANSPORTATION,False,2080.0,2011,3.32471418380737
"Air Navigation Pro","Xample Sarl",/store/apps/developer?id=Xample+Sarl,TRANSPORTATION,False,2342.0,1871,3.38161420822144
Diptic,"UpTop Corp",/store/apps/developer?id=UpTop+Corp,PHOTOGRAPHY,False,99.0,1721,2.88959908485413
"TomTom Western Europe","TomTom International BV",/store/apps/dev?id=9210967624282537513,TRAVEL_AND_LOCAL,False,5552.0,1682,3.24197387695313
mydlink+,"D-Link Corporation",/store/apps/developer?id=D-Link+Corporation,PRODUCTIVITY,False,99.0,1623,3.08626008033752
"BringGo Western Europe","EnGIS Technologies, Inc.","/store/apps/developer?id=EnGIS+Technologies,+Inc.",TRANSPORTATION,False,99.0,1577,2.84210515022278
"Fast Pro (Client for Facebook)",team2soft,/store/apps/dev?id=6306692976025121380,SOCIAL,False,173.0,1559,3.46568322181702
"Speed Cams Wikango HD v4.3.2",Wikango,/store/apps/developer?id=Wikango,TRANSPORTATION,False,99.0,1507,3.31606912612915
"Screen Recorder License",NLL,/store/apps/developer?id=NLL,MEDIA_AND_VIDEO,False,100.0,1341,3.22744226455688
FUNimation,"Phunware, Inc.","/store/apps/developer?id=Phunware,+Inc.",ENTERTAINMENT,False,999.0,1250,3.45679998397827
"I-Doser Premium",I-Doser.com,/store/apps/dev?id=6172927760485730448,ENTERTAINMENT,False,499.0,1146,3.4659686088562
"NAVIGON USA","Garmin Würzburg GmbH",/store/apps/dev?id=8488464215618541033,TRAVEL_AND_LOCAL,False,3995.0,1108,3.3053297996521
"Volume Boost",Kibohely,/store/apps/developer?id=Kibohely,MUSIC_AND_AUDIO,False,100.0,1069,3.47119927406311
"PenSupremacy for Tablets",ApkIng,/store/apps/developer?id=ApkIng,PRODUCTIVITY,False,149.0,958,3.39770364761353
"Easy Clock Widget",jmbc,/store/apps/developer?id=jmbc,PERSONALIZATION,False,124.0,903,3.457364320755
"DiskDigger Pro (root)","Defiant Technologies, LLC","/store/apps/developer?id=Defiant+Technologies,+LLC",TOOLS,False,299.0,888,3.16891884803772
"Wpa Tester Defectum","Carlo Marinangeli",/store/apps/developer?id=Carlo+Marinangeli,COMMUNICATION,False,152.0,860,3.10593724250793
"Police Radio",MoMojo,/store/apps/developer?id=MoMojo,COMMUNICATION,False,99.0,851,3.49090909957886
"ThinkFree Office Mobile","ThinkFree Mobile",/store/apps/developer?id=ThinkFree+Mobile,BUSINESS,False,999.0,843,3.1561381816864
"SamMobile Premium",SamMobile.com,/store/apps/developer?id=SamMobile.com,SOCIAL,False,342.0,819,3.32967042922974
"Vintique by GMYStudio","GMY Studio",/store/apps/developer?id=GMY+Studio,PHOTOGRAPHY,False,99.0,817,3.36964511871338
"iParadox – Alarm Control","Paradox Security Systems",/store/apps/developer?id=Paradox+Security+Systems,COMMUNICATION,False,972.0,808,3.39851474761963
"Forum Runner",ForumRunner,/store/apps/developer?id=ForumRunner,SOCIAL,False,199.0,760,3.02236843109131
Radiolab,"WNYC Radio",/store/apps/developer?id=WNYC+Radio,ENTERTAINMENT,False,299.0,756,2.83201050758362
"Echofon PRO for Twitter","UberMedia Inc.",/store/apps/developer?id=UberMedia+Inc.,SOCIAL,False,499.0,711,3.47116732597351
"HDHomeRun VIEW","SiliconDust USA, Inc","/store/apps/developer?id=SiliconDust+USA,+Inc",ENTERTAINMENT,False,99.0,517,3.07350087165833
"B.iCycle - GPS bike computer","Valley Development GmbH",/store/apps/developer?id=Valley+Development+GmbH,HEALTH_AND_FITNESS,False,399.0,266,3.42857146263123
"Tiny Beats - baby heartbeat","Health &amp Parenting Ltd",/store/apps/dev?id=6809109784060370658,MEDICAL,False,399.0,263,2.44106459617615
"Plan B - Track Lost Phone","DI Apps",/store/apps/developer?id=DI+Apps,TOOLS,False,199.0,192,2.44270825386047
"Blaze and the Monster Machines",Nickelodeon,/store/apps/developer?id=Nickelodeon,EDUCATION,False,699.0,152,3.34868431091309
"Gear Manager for all","smarco tech",/store/apps/developer?id=smarco+tech,TOOLS,False,190.0,77,1.67532467842102
"Gear Fit File Manager","ZERO Labs",/store/apps/developer?id=ZERO+Labs,TOOLS,False,148.0,62,2.61290311813354
"Stick Texting-The Emoji Killer","Mitchell Robiner",/store/apps/developer?id=Mitchell+Robiner,ENTERTAINMENT,False,199.0,59,2.86440682411194
"My Baby's Beat - Heart Monitor","Matis LTD",/store/apps/developer?id=Matis+LTD,MEDICAL,False,199.0,59,1.72881352901459
"V-Cut Express",yogeeyo.com,/store/apps/developer?id=yogeeyo.com,MEDIA_AND_VIDEO,False,102.0,36,3.08333325386047
"Weather Watch Face - G Watch R","Frillroid Watch Faces",/store/apps/dev?id=4781000027709845122,WEATHER,False,105.0,24,2.70833325386047
"Refugee Emojis Keyboard",Snaps,/store/apps/developer?id=Snaps,COMMUNICATION,False,199.0,17,2.41176462173462
"MUSIC PLAYER PRO","FedTech Team",/store/apps/developer?id=FedTech+Team,MUSIC_AND_AUDIO,False,99.0,10,3.40000009536743
"Tv English World Streaming",luccheroka,/store/apps/developer?id=luccheroka,MEDIA_AND_VIDEO,False,231.0,10,3.0
"Wifi SMS Communication Manager","Jeff Sweeting",/store/apps/developer?id=Jeff+Sweeting,COMMUNICATION,False,99.0,9,3.44444441795349
"ACOFP DO-OMT","American College of Osteopathic Family Physicians",/store/apps/developer?id=American+College+of+Osteopathic+Family+Physicians,EDUCATION,False,499.0,7,3.28571438789368
"People Edge - Apps Edge Note 5","TIRIPS Studio",/store/apps/developer?id=TIRIPS+Studio,TOOLS,False,99.0,6,3.33333325386047
"Parallaxed 360 VR Horror Movie","Parallaxed 360 VR Horror Movie",/store/apps/developer?id=Parallaxed+360+VR+Horror+Movie,ENTERTAINMENT,False,199.0,6,2.33333325386047
"J-POP Hits!","Heuron Co., Ltd.","/store/apps/developer?id=Heuron+Co.,+Ltd.",MUSIC_AND_AUDIO,False,434.0,4,2.75
